"croutons","While these small bread cubes often top salads, larger versions can be used to catch drippings"
"steaktartare","A raw egg yolk usually accompanies this raw meat dish"
"squash","Butternut refers to both an actual nut and this type of gourd"
"afrittata","It's an Italian version of an omelet, served pancake-style"
"potatocabbage","They're the two common vegetables in the English dish bubble and squeak"
"raisins","Some say these dried treats are tastier made from seeded grapes than from seedless ones"
"ham","Juniper is used to smoke Germany's Westphalian form of this meat"
"ricepudding","Riz A L'Imperatrice is an elegant version of this homey dessert"
"herring","The Bismarck type of this fish is made of fillets cured in vinegar, salt and onions"
"mustard","Varieties include Chinese and Dijon"
"pasta","Type of food that comes in shapes of bow ties, elbows and wagon wheels"
"anavocado","Also known as an alligator pear"
"anartichoke","California vegetable with a crown and a heart"
"brownies","The non-chocolate version are called ""blondies"
"asparagus","This stalked vegetable is commonly cooked standing up in the pot"
"oncob","Emily Post says corn should never be served this way at a formal dinner"
"gherkin","A cucumber pickled when it's only 2-3 inches long is called this"
"fettucinealfredo","Ribbon-shaped noodles, sweet butter, cream, parmesan cheese and black pepper make up this pasta dish"
"gnocchi","From Italian for ""knot in wood"", it's a dumpling made from flour, semolina or potato starch"
"butter","With far less fat than margarine, Le Slim Cow is a French substitute for this dairy product"
"porkrinds","President Bush likes to eat these pigskin treats with Tabasco sauce"
"pomegranate","The prophet Mohammed advised, ""Eat"" this many-seeded fruit, ""It purges the system of envy and hatred"
"waterbuffalo","Bufala Mozzarella is made from the milk of this type of buffalo, not bison"
"ladyfingers","To make Charlotte Russe, line your mold with these cakes"
"virginia","To earn the name, Smithfield hams must be cured in the area around Smithfield in this state"
"geese","Foie gras is the liver of ducks or these animals fattened by force-feeding"
"tangelo","The minneola is a popular variety of this cross between a tangerine and grapefruit"
"yorkshirepudding","This puffy pudding is often served with roast beef in Britain"
"peachmelba","This dish consists of poached peaches filled with ice cream and topped with raspberry sauce"
"olives","The manzanillo is the most widely grown type in Calif.; almost all are eaten, not pressed for oil"
"korea","Hawkeye Pierce could tell you that kimchi is pickled vegetables common in this country"
"yogurt","Lactobacillus bulgaricus is added to milk to make this thick semi-solid dairy product"
